# Title: Global Land and Ocean January Average Temperature Anomalies
# Units: Degrees Celsius
# Missing: -999
# Base Period: 1901-2000
Year,Anomaly
1850,-0.46
1851,-0.17
1852,-0.02
1853,-0.12
1854,-0.28
1855,-0.08
1856,0.18
1857,-0.15
1858,-0.13
1859,-0.15
1860,-0.13
1861,-0.62
1862,-0.44
1863,-0.13
1864,-0.33
1865,0.14
1866,0.02
1867,-0.17
1868,-0.38
1869,0.03
1870,-0.16
1871,-0.35
1872,-0.27
1873,-0.21
1874,-0.21
1875,-0.13
1876,-0.23
1877,-0.09
1878,0.14
1879,-0.05
1880,-0.30
1881,-0.11
1882,0.10
1883,-0.18
1884,-0.22
1885,-0.40
1886,-0.30
1887,-0.64
1888,-0.15
1889,0.06
1890,-0.34
1891,-0.29
1892,-0.19
1893,-0.54
1894,-0.53
1895,-0.33
1896,-0.17
1897,-0.09
1898,-0.22
1899,-0.30
1900,-0.27
1901,-0.20
1902,-0.17
1903,-0.21
1904,-0.60
1905,-0.31
1906,-0.31
1907,-0.31
1908,-0.48
1909,-0.67
1910,-0.36
1911,-0.56
1912,-0.29
1913,-0.37
1914,-0.07
1915,-0.15
1916,-0.13
1917,-0.53
1918,-0.50
1919,-0.06
1920,-0.17
1921,-0.11
1922,-0.19
1923,-0.29
1924,-0.16
1925,-0.42
1926,0.17
1927,-0.26
1928,-0.08
1929,-0.35
1930,-0.31
1931,-0.01
1932,0.13
1933,-0.15
1934,-0.26
1935,-0.28
1936,-0.29
1937,-0.06
1938,0.03
1939,-0.05
1940,0.12
1941,0.19
1942,0.31
1943,-0.01
1944,0.32
1945,0.20
1946,0.20
1947,0.01
1948,0.01
1949,0.08
1950,-0.19
1951,-0.32
1952,0.15
1953,0.09
1954,-0.16
1955,0.13
1956,-0.09
1957,-0.03
1958,0.36
1959,0.12
1960,0.04
1961,0.11
1962,0.07
1963,0.01
1964,-0.04
1965,-0.07
1966,-0.15
1967,-0.09
1968,-0.22
1969,-0.07
1970,0.17
1971,-0.04
1972,-0.18
1973,0.32
1974,-0.08
1975,0.05
1976,-0.02
1977,0.24
1978,0.12
1979,0.15
1980,0.36
1981,0.51
1982,0.09
1983,0.49
1984,0.31
1985,0.27
1986,0.28
1987,0.35
1988,0.55
1989,0.11
1990,0.39
1991,0.41
1992,0.43
1993,0.34
1994,0.23
1995,0.54
1996,0.28
1997,0.26
1998,0.59
1999,0.47
2000,0.31
2001,0.46
2002,0.68
2003,0.71
2004,0.62
2005,0.76
2006,0.60
2007,0.91
2008,0.28
2009,0.67
2010,0.76
2011,0.55
2012,0.51
2013,0.68
2014,0.74
2015,0.84
2016,1.20
2017,1.04
2018,0.84
2019,0.93
2020,1.16
2021,0.83
2022,0.92
2023,0.89
2024,1.30
2025,1.33
